         153735513 function calls (153733227 primitive calls) in 146.209 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.066    0.066  146.459  146.459 scsatime.py:226(compute_scsa_denoising)
      127    4.440    0.035  146.091    1.150 scsatime.py:165(compute_scsa_1d)
      127    1.091    0.009  138.260    1.089 scsatime.py:141(simp_integral)
   130175    1.398    0.000  134.315    0.001 lax_numpy.py:3770(_rewriting_take)
   130048    1.559    0.000  116.213    0.001 lax_numpy.py:3822(_gather)
   522604    0.831    0.000   71.784    0.000 core.py:326(bind)
   130048    3.065    0.000   69.239    0.001 lax_numpy.py:3924(_index_to_gather)
   522604    1.054    0.000   65.117    0.000 core.py:331(bind_with_trace)
   522604    0.904    0.000   60.395    0.000 core.py:711(process_primitive)
   522604    1.634    0.000   59.492    0.000 dispatch.py:111(apply_primitive)
   260096    1.995    0.000   35.249    0.000 lax.py:1309(expand_dims)
   522604    1.192    0.000   32.606    0.000 dispatch.py:200(<lambda>)
   260223    0.954    0.000   30.504    0.000 lax.py:796(broadcast_in_dim)
   131952    0.987    0.000   25.549    0.000 lax.py:560(_convert_element_type)
   130175    0.125    0.000   25.484    0.000 lax.py:541(convert_element_type)
   130048    0.631    0.000   23.760    0.000 slicing.py:222(gather)
   261745    5.819    0.000   20.160    0.000 dispatch.py:875(_execute_compiled)
   781809    0.564    0.000   17.214    0.000 core.py:1252(get_aval)
   130048    0.410    0.000   16.438    0.000 lax_numpy.py:916(expand_dims)
   130048    0.698    0.000   16.104    0.000 lax_numpy.py:3884(_split_index_for_jit)
   781809    1.894    0.000   15.778    0.000 core.py:1242(concrete_aval)
  7186795    4.606    0.000   15.532    0.000 config.py:244(get_state)
   130048    1.013    0.000   14.573    0.000 lax_numpy.py:4184(_expand_bool_indices)
   522604    2.316    0.000   14.197    0.000 util.py:248(wrapper)
   390776    0.610    0.000   13.128    0.000 abstract_arrays.py:67(_make_concrete_python_scalar)
   522858    0.616    0.000   11.476    0.000 dispatch.py:1254(device_put)
   260860    1.215    0.000   11.254    0.000 dispatch.py:932(_execute_trivial)
   652907    3.587    0.000   11.055    0.000 dispatch.py:94(arg_spec)
   522605    2.071    0.000    9.242    0.000 config.py:458(_trace_context)
   391284    0.812    0.000    7.619    0.000 abstract_arrays.py:52(canonical_concrete_aval)
   260860    0.523    0.000    7.561    0.000 dispatch.py:942(<listcomp>)
  9810006    7.416    0.000    7.416    0.000 {built-in method builtins.getattr}
   261745    0.653    0.000    7.224    0.000 util.py:142(concatenate)
  2350128    1.622    0.000    6.963    0.000 dtypes.py:117(canonicalize_dtype)
12544802/12544548    3.347    0.000    6.847    0.000 {built-in method builtins.isinstance}
   653792    0.410    0.000    6.501    0.000 dispatch.py:883(<genexpr>)
   259969    0.421    0.000    6.485    0.000 lax_numpy.py:4175(_is_boolean_index)
  9278106    4.146    0.000    6.112    0.000 config.py:100(_read)
   262004    0.725    0.000    5.374    0.000 dtypes.py:494(result_type)
   780669    2.261    0.000    5.313    0.000 core.py:1770(_dim_handler_and_canonical)
   392047    0.365    0.000    5.161    0.000 dispatch.py:1287(_device_put_device_array)
   129794    0.355    0.000    5.153    0.000 lax_numpy.py:3658(_normalize_index)
   652908    0.990    0.000    5.135    0.000 xla.py:267(abstractify)
   390271    0.776    0.000    5.107    0.000 core.py:1803(symbolic_equal_dim)
   391284    1.537    0.000    4.929    0.000 core.py:1453(__init__)
   787276    0.564    0.000    4.883    0.000 {built-in method builtins.any}
  1178307    1.708    0.000    4.879    0.000 dtypes.py:447(dtype)
   522096    2.232    0.000    4.826    0.000 dispatch.py:1294(_copy_device_array_to_device)
   522605    1.783    0.000    4.771    0.000 core.py:1118(find_top_trace)
  1174374    3.081    0.000    4.676    0.000 util.py:73(safe_map)
   784603    3.864    0.000    4.534    0.000 device_array.py:53(make_device_array)
   264285    3.480    0.000    4.400    0.000 lax_numpy.py:4931(deferring_binary_op)
   261745    0.576    0.000    4.311    0.000 dispatch.py:767(__call__)
   390776    1.129    0.000    4.285    0.000 dtypes.py:144(_scalar_type_to_dtype)
   392556    0.216    0.000    4.042    0.000 dispatch.py:802(<lambda>)
   260096    0.215    0.000    4.031    0.000 core.py:1849(is_empty_shape)
   130811    0.311    0.000    4.018    0.000 abstract_arrays.py:35(make_shaped_array)
   651128    1.468    0.000    3.851    0.000 dtypes.py:251(issubdtype)
   392556    0.421    0.000    3.826    0.000 dispatch.py:771(maybe_create_array_from_da)
   522858    0.508    0.000    3.796    0.000 xla.py:239(canonicalize_dtype)
2617977/2616453    2.563    0.000    3.704    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   263527    0.799    0.000    3.647    0.000 dtypes.py:464(_lattice_result_type)
   520319    0.211    0.000    3.625    0.000 core.py:1850(<genexpr>)
   519176    0.299    0.000    3.548    0.000 lax_numpy.py:330(issubdtype)
  5487160    1.634    0.000    3.499    0.000 abc.py:117(__instancecheck__)
   130811    0.199    0.000    3.128    0.000 xla.py:250(_canonicalize_ndarray_dtype)
   523490    0.340    0.000    2.896    0.000 dispatch.py:768(<genexpr>)
  1434850    1.186    0.000    2.812    0.000 core.py:1763(_get_special_dim_handler)
   527945    0.226    0.000    2.797    0.000 dtypes.py:465(<genexpr>)
  1568705    0.828    0.000    2.703    0.000 config.py:281(get_state)
   129921    0.439    0.000    2.627    0.000 lax.py:4708(_const)
      127    0.497    0.004    2.616    0.021 scsatime.py:100(construct_matrix)
   390144    0.451    0.000    2.600    0.000 core.py:1799(is_constant_dim)
   130048    0.130    0.000    2.587    0.000 lax_numpy.py:4234(_is_advanced_int_indexer)
   261749    0.185    0.000    2.586    0.000 {built-in method builtins.all}
   911730    1.010    0.000    2.580    0.000 numerictypes.py:356(issubdtype)
   264418    0.425    0.000    2.571    0.000 dtypes.py:311(_dtype_and_weaktype)
   652778    0.691    0.000    2.565    0.000 core.py:1886(canonicalize_shape)
   390017    0.352    0.000    2.316    0.000 lax_numpy.py:4238(<genexpr>)
   912874    0.660    0.000    2.254    0.000 <__array_function__ internals>:177(shape)
   130048    0.215    0.000    2.020    0.000 lax_numpy.py:3964(<listcomp>)
  1179956    0.890    0.000    1.981    0.000 <__array_function__ internals>:177(result_type)
  9278106    1.966    0.000    1.966    0.000 config.py:117(check_exists)
   130811    1.840    0.000    1.903    0.000 dispatch.py:1264(_device_put_array)
   262383    0.356    0.000    1.876    0.000 core.py:1875(_canonicalize_dimension)
  5487160    1.865    0.000    1.865    0.000 {built-in method _abc._abc_instancecheck}
   523877    0.737    0.000    1.799    0.000 {built-in method builtins.max}
   522098    0.432    0.000    1.789    0.000 <__array_function__ internals>:177(ndim)
   261745    0.140    0.000    1.665    0.000 dispatch.py:841(check_special)
   259588    0.217    0.000    1.530    0.000 lax_numpy.py:153(_dtype)
   261745    0.282    0.000    1.525    0.000 dispatch.py:838(needs_check_special)
   522095    0.673    0.000    1.514    0.000 core.py:1374(__init__)
  1823460    0.951    0.000    1.451    0.000 numerictypes.py:282(issubclass_)
   781300    1.429    0.000    1.429    0.000 getlimits.py:648(__init__)
   522732    1.276    0.000    1.406    0.000 util.py:51(safe_zip)
   652907    0.919    0.000    1.303    0.000 core.py:1405(__hash__)
   522605    0.679    0.000    1.191    0.000 core.py:756(with_cur_sublevel)
   130048    0.404    0.000    1.164    0.000 api_util.py:46(_ensure_index_tuple)
   652907    0.450    0.000    1.154    0.000 core.py:418(full_raise)
   261745    0.421    0.000    1.142    0.000 util.py:150(unflatten)
   522605    0.332    0.000    1.061    0.000 core.py:1119(<genexpr>)
   522605    0.229    0.000    1.032    0.000 core.py:1112(full_lower)
   780288    0.266    0.000    1.020    0.000 core.py:1131(get_referent)
      127    0.003    0.000    0.958    0.008 _base.py:948(toarray)
   129920    0.250    0.000    0.951    0.000 dtypes.py:128(scalar_type_of)
  6659142    0.940    0.000    0.941    0.000 {built-in method builtins.len}
   522606    0.296    0.000    0.902    0.000 config.py:450(get_state)
      127    0.698    0.005    0.868    0.007 _dia.py:392(tocoo)
   129794    0.098    0.000    0.866    0.000 lax_numpy.py:3921(_int)
   522605    0.864    0.000    0.864    0.000 {built-in method jaxlib.xla_extension.jax_jit.thread_local_state}
   652907    0.647    0.000    0.862    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
  1045587    0.790    0.000    0.790    0.000 core.py:1399(__eq__)
  3389493    0.753    0.000    0.754    0.000 {built-in method builtins.issubclass}
   392048    0.722    0.000    0.722    0.000 {built-in method numpy.array}
   131950    0.136    0.000    0.708    0.000 util.py:338(_check_arraylike)
   130558    0.107    0.000    0.680    0.000 tree_util.py:39(tree_flatten)
   130048    0.615    0.000    0.665    0.000 lax_numpy.py:3909(_merge_static_and_dynamic_indices)
