         40240765 function calls (40240693 primitive calls) in 85.320 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   262166    0.196    0.000    0.668    0.000 <__array_function__ internals>:177(shape)
    32760    0.036    0.000    0.654    0.000 lax_numpy.py:4234(_is_advanced_int_indexer)
   311368    0.274    0.000    0.646    0.000 core.py:1763(_get_special_dim_handler)
    81981    0.126    0.000    0.640    0.000 core.py:1875(_canonicalize_dimension)
    49194    0.041    0.000    0.632    0.000 {built-in method builtins.all}
    98276    0.090    0.000    0.581    0.000 lax_numpy.py:4238(<genexpr>)
    49140    0.059    0.000    0.580    0.000 core.py:1849(is_empty_shape)
  2524082    0.558    0.000    0.558    0.000 config.py:117(check_exists)
        4    0.000    0.000    0.542    0.135 lax_numpy.py:553(transpose)
    32760    0.063    0.000    0.542    0.000 lax_numpy.py:3964(<listcomp>)
        4    0.000    0.000    0.542    0.135 lax.py:951(transpose)
        4    0.000    0.000    0.527    0.132 <__array_function__ internals>:177(tile)
        4    0.001    0.000    0.527    0.132 shape_base.py:1191(tile)
        4    0.526    0.131    0.526    0.131 {method 'repeat' of 'numpy.ndarray' objects}
    98284    0.044    0.000    0.488    0.000 core.py:1850(<genexpr>)
   131166    0.190    0.000    0.446    0.000 {built-in method builtins.max}
  1245750    0.441    0.000    0.441    0.000 {built-in method _abc._abc_instancecheck}
   524258    0.285    0.000    0.436    0.000 numerictypes.py:282(issubclass_)
   131101    0.105    0.000    0.432    0.000 <__array_function__ internals>:177(ndim)
    65578    0.036    0.000    0.424    0.000 dispatch.py:841(check_special)
   147486    0.191    0.000    0.416    0.000 core.py:1374(__init__)
    65578    0.074    0.000    0.388    0.000 dispatch.py:838(needs_check_special)
    65504    0.053    0.000    0.386    0.000 lax_numpy.py:153(_dtype)
   196604    0.364    0.000    0.364    0.000 getlimits.py:648(__init__)
   131128    0.325    0.000    0.359    0.000 util.py:51(safe_zip)
       34    0.000    0.000    0.355    0.010 lax.py:417(integer_pow)
    98347    0.336    0.000    0.336    0.000 {built-in method numpy.array}
   147512    0.221    0.000    0.312    0.000 core.py:1405(__hash__)
   131124    0.176    0.000    0.309    0.000 core.py:756(with_cur_sublevel)
   196808    0.295    0.000    0.295    0.000 dtypes.py:435(is_weakly_typed)
    65578    0.108    0.000    0.295    0.000 util.py:150(unflatten)
   147512    0.110    0.000    0.277    0.000 core.py:418(full_raise)
   131124    0.057    0.000    0.260    0.000 core.py:1112(full_lower)
   131124    0.079    0.000    0.256    0.000 core.py:1119(<genexpr>)
    32755    0.063    0.000    0.245    0.000 dtypes.py:128(scalar_type_of)
        4    0.000    0.000    0.243    0.061 _coo.py:127(__init__)
  1622516    0.235    0.000    0.235    0.000 {built-in method builtins.len}
   131125    0.078    0.000    0.233    0.000 config.py:450(get_state)
   983082    0.231    0.000    0.231    0.000 {built-in method builtins.issubclass}
   163892    0.172    0.000    0.227    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
   131124    0.224    0.000    0.224    0.000 {built-in method jaxlib.xla_extension.jax_jit.thread_local_state}
    32752    0.027    0.000    0.223    0.000 lax_numpy.py:3921(_int)
    82020    0.043    0.000    0.213    0.000 core.py:1794(is_special_dim_size)
    16384    0.022    0.000    0.200    0.000 lax_numpy.py:94(canonicalize_shape)
   262261    0.185    0.000    0.185    0.000 core.py:1399(__eq__)
   262166    0.182    0.000    0.182    0.000 fromnumeric.py:1965(shape)
    32825    0.040    0.000    0.182    0.000 util.py:338(_check_arraylike)
   131040    0.047    0.000    0.175    0.000 core.py:1131(get_referent)
    32760    0.159    0.000    0.172    0.000 lax_numpy.py:3909(_merge_static_and_dynamic_indices)
    32778    0.030    0.000    0.171    0.000 tree_util.py:39(tree_flatten)
    32760    0.074    0.000    0.170    0.000 lax_numpy.py:4255(_canonicalize_tuple_index)
   131131    0.162    0.000    0.162    0.000 xla_bridge.py:428(get_device_backend)
    65578    0.103    0.000    0.162    0.000 util.py:155(<listcomp>)
    16380    0.054    0.000    0.152    0.000 api_util.py:46(_ensure_index_tuple)
   884918    0.152    0.000    0.152    0.000 {method 'get' of 'dict' objects}
    32795    0.140    0.000    0.140    0.000 {built-in method jaxlib.xla_extension.pytree.flatten}
   196595    0.084    0.000    0.126    0.000 dtypes.py:240(_issubclass)
    65525    0.067    0.000    0.123    0.000 {built-in method builtins.sum}
    65711    0.031    0.000    0.114    0.000 util.py:341(<genexpr>)
   131101    0.114    0.000    0.114    0.000 fromnumeric.py:3121(ndim)
    98349    0.110    0.000    0.110    0.000 {built-in method numpy.asarray}
    98292    0.098    0.000    0.101    0.000 {built-in method builtins.repr}
   344371    0.092    0.000    0.092    0.000 core.py:1290(is_opaque_dtype)
   147486    0.092    0.000    0.092    0.000 core.py:1300(_dtype_object)
   327728    0.071    0.000    0.087    0.000 {built-in method builtins.next}
    32886    0.035    0.000    0.084    0.000 util.py:327(_arraylike)
   589711    0.080    0.000    0.080    0.000 {method 'append' of 'list' objects}
   393712    0.079    0.000    0.079    0.000 dtypes.py:313(<genexpr>)
    49140    0.035    0.000    0.078    0.000 lax.py:1314(<listcomp>)
