         73841602 function calls (73840504 primitive calls) in 70.970 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.036    0.036   71.090   71.090 scsatime.py:226(compute_scsa_denoising)
       61    2.218    0.036   70.908    1.162 scsatime.py:165(compute_scsa_1d)
       61    0.539    0.009   67.003    1.098 scsatime.py:141(simp_integral)
    62525    0.673    0.000   65.110    0.001 lax_numpy.py:3770(_rewriting_take)
    62464    0.784    0.000   56.321    0.001 lax_numpy.py:3822(_gather)
   251014    0.422    0.000   34.847    0.000 core.py:326(bind)
    62464    1.464    0.000   33.608    0.001 lax_numpy.py:3924(_index_to_gather)
   251014    0.495    0.000   31.599    0.000 core.py:331(bind_with_trace)
   251014    0.445    0.000   29.301    0.000 core.py:711(process_primitive)
   251014    0.801    0.000   28.856    0.000 dispatch.py:111(apply_primitive)
   124928    0.937    0.000   17.055    0.000 lax.py:1309(expand_dims)
   251014    0.568    0.000   15.797    0.000 dispatch.py:200(<lambda>)
   124989    0.465    0.000   14.795    0.000 lax.py:796(broadcast_in_dim)
    63378    0.476    0.000   12.490    0.000 lax.py:560(_convert_element_type)
    62525    0.060    0.000   12.458    0.000 lax.py:541(convert_element_type)
    62464    0.313    0.000   11.482    0.000 slicing.py:222(gather)
   125719    2.827    0.000    9.735    0.000 dispatch.py:875(_execute_compiled)
   375513    0.297    0.000    8.346    0.000 core.py:1252(get_aval)
    62464    0.205    0.000    7.944    0.000 lax_numpy.py:916(expand_dims)
    62464    0.334    0.000    7.830    0.000 lax_numpy.py:3884(_split_index_for_jit)
   375513    0.912    0.000    7.618    0.000 core.py:1242(concrete_aval)
  3451921    2.191    0.000    7.557    0.000 config.py:244(get_state)
    62464    0.482    0.000    7.083    0.000 lax_numpy.py:4184(_expand_bool_indices)
   251014    1.110    0.000    7.039    0.000 util.py:248(wrapper)
   187694    0.295    0.000    6.329    0.000 abstract_arrays.py:67(_make_concrete_python_scalar)
   251136    0.308    0.000    5.548    0.000 dispatch.py:1254(device_put)
   125296    0.595    0.000    5.495    0.000 dispatch.py:932(_execute_trivial)
   313601    1.601    0.000    5.219    0.000 dispatch.py:94(arg_spec)
   251015    1.023    0.000    4.631    0.000 config.py:458(_trace_context)
   125296    0.262    0.000    3.677    0.000 dispatch.py:942(<listcomp>)
   187938    0.394    0.000    3.655    0.000 abstract_arrays.py:52(canonical_concrete_aval)
  4711902    3.569    0.000    3.569    0.000 {built-in method builtins.getattr}
   125719    0.311    0.000    3.467    0.000 util.py:142(concatenate)
  1128798    0.791    0.000    3.352    0.000 dtypes.py:117(canonicalize_dtype)
6025454/6025332    1.624    0.000    3.300    0.000 {built-in method builtins.isinstance}
   124867    0.204    0.000    3.157    0.000 lax_numpy.py:4175(_is_boolean_index)
   314024    0.197    0.000    3.121    0.000 dispatch.py:883(<genexpr>)
  4456410    2.086    0.000    3.070    0.000 config.py:100(_read)
   125846    0.373    0.000    2.621    0.000 dtypes.py:494(result_type)
   374967    1.084    0.000    2.567    0.000 core.py:1770(_dim_handler_and_canonical)
   313602    0.470    0.000    2.497    0.000 xla.py:267(abstractify)
    62342    0.173    0.000    2.493    0.000 lax_numpy.py:3658(_normalize_index)
   188305    0.173    0.000    2.465    0.000 dispatch.py:1287(_device_put_device_array)
   187453    0.364    0.000    2.449    0.000 core.py:1803(symbolic_equal_dim)
   565959    0.828    0.000    2.373    0.000 dtypes.py:447(dtype)
   187938    0.720    0.000    2.341    0.000 core.py:1453(__init__)
   378142    0.271    0.000    2.324    0.000 {built-in method builtins.any}
   251015    0.857    0.000    2.312    0.000 core.py:1118(find_top_trace)
   564072    1.539    0.000    2.312    0.000 util.py:73(safe_map)
   250770    1.076    0.000    2.307    0.000 dispatch.py:1294(_copy_device_array_to_device)
   376855    1.845    0.000    2.153    0.000 device_array.py:53(make_device_array)
   126939    1.687    0.000    2.133    0.000 lax_numpy.py:4931(deferring_binary_op)
   125719    0.274    0.000    2.078    0.000 dispatch.py:767(__call__)
   187694    0.542    0.000    2.069    0.000 dtypes.py:144(_scalar_type_to_dtype)
    62831    0.151    0.000    1.964    0.000 abstract_arrays.py:35(make_shaped_array)
   188550    0.110    0.000    1.939    0.000 dispatch.py:802(<lambda>)
   124928    0.104    0.000    1.932    0.000 core.py:1849(is_empty_shape)
   312746    0.707    0.000    1.860    0.000 dtypes.py:251(issubdtype)
   251136    0.243    0.000    1.842    0.000 xla.py:239(canonicalize_dtype)
   188550    0.201    0.000    1.828    0.000 dispatch.py:771(maybe_create_array_from_da)
1257453/1256721    1.223    0.000    1.798    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   126577    0.387    0.000    1.766    0.000 dtypes.py:464(_lattice_result_type)
   249917    0.104    0.000    1.737    0.000 core.py:1850(<genexpr>)
   249368    0.157    0.000    1.727    0.000 lax_numpy.py:330(issubdtype)
  2635564    0.801    0.000    1.676    0.000 abc.py:117(__instancecheck__)
    62831    0.104    0.000    1.517    0.000 xla.py:250(_canonicalize_ndarray_dtype)
   251438    0.163    0.000    1.390    0.000 dispatch.py:768(<genexpr>)
   689182    0.572    0.000    1.364    0.000 core.py:1763(_get_special_dim_handler)
   253583    0.106    0.000    1.355    0.000 dtypes.py:465(<genexpr>)
   753473    0.416    0.000    1.334    0.000 config.py:281(get_state)
       61    0.242    0.004    1.294    0.021 scsatime.py:100(construct_matrix)
    62403    0.221    0.000    1.277    0.000 lax.py:4708(_const)
   187392    0.218    0.000    1.259    0.000 core.py:1799(is_constant_dim)
   313538    0.339    0.000    1.251    0.000 core.py:1886(canonicalize_shape)
   127006    0.205    0.000    1.249    0.000 dtypes.py:311(_dtype_and_weaktype)
   437916    0.486    0.000    1.244    0.000 numerictypes.py:356(issubdtype)
    62464    0.065    0.000    1.225    0.000 lax_numpy.py:4234(_is_advanced_int_indexer)
   125723    0.091    0.000    1.224    0.000 {built-in method builtins.all}
   187331    0.163    0.000    1.092    0.000 lax_numpy.py:4238(<genexpr>)
   438466    0.315    0.000    1.088    0.000 <__array_function__ internals>:177(shape)
    62464    0.118    0.000    0.997    0.000 lax_numpy.py:3964(<listcomp>)
   566750    0.448    0.000    0.986    0.000 <__array_function__ internals>:177(result_type)
  4456410    0.985    0.000    0.985    0.000 config.py:117(check_exists)
    62831    0.902    0.000    0.934    0.000 dispatch.py:1264(_device_put_array)
   126027    0.173    0.000    0.912    0.000 core.py:1875(_canonicalize_dimension)
  2635564    0.875    0.000    0.875    0.000 {built-in method _abc._abc_instancecheck}
   251627    0.364    0.000    0.869    0.000 {built-in method builtins.max}
   250772    0.209    0.000    0.856    0.000 <__array_function__ internals>:177(ndim)
   125719    0.067    0.000    0.808    0.000 dispatch.py:841(check_special)
   125719    0.138    0.000    0.741    0.000 dispatch.py:838(needs_check_special)
   124684    0.101    0.000    0.728    0.000 lax_numpy.py:153(_dtype)
   250769    0.322    0.000    0.716    0.000 core.py:1374(__init__)
   875832    0.461    0.000    0.700    0.000 numerictypes.py:282(issubclass_)
   251076    0.628    0.000    0.692    0.000 util.py:51(safe_zip)
   375268    0.690    0.000    0.690    0.000 getlimits.py:648(__init__)
   313601    0.445    0.000    0.636    0.000 core.py:1405(__hash__)
   251015    0.338    0.000    0.587    0.000 core.py:756(with_cur_sublevel)
    62464    0.201    0.000    0.565    0.000 api_util.py:46(_ensure_index_tuple)
   313601    0.223    0.000    0.560    0.000 core.py:418(full_raise)
   125719    0.201    0.000    0.555    0.000 util.py:150(unflatten)
   251015    0.154    0.000    0.504    0.000 core.py:1119(<genexpr>)
   251015    0.112    0.000    0.494    0.000 core.py:1112(full_lower)
   374784    0.128    0.000    0.489    0.000 core.py:1131(get_referent)
       61    0.001    0.000    0.482    0.008 _base.py:948(toarray)
   251015    0.461    0.000    0.461    0.000 {built-in method jaxlib.xla_extension.jax_jit.thread_local_state}
    62402    0.116    0.000    0.459    0.000 dtypes.py:128(scalar_type_of)
   251016    0.153    0.000    0.451    0.000 config.py:450(get_state)
  3198498    0.448    0.000    0.448    0.000 {built-in method builtins.len}
       61    0.350    0.006    0.436    0.007 _dia.py:392(tocoo)
   313601    0.322    0.000    0.425    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
    62342    0.050    0.000    0.419    0.000 lax_numpy.py:3921(_int)
   188306    0.365    0.000    0.365    0.000 {built-in method numpy.array}
  1628019    0.362    0.000    0.362    0.000 {built-in method builtins.issubclass}
   502270    0.361    0.000    0.361    0.000 core.py:1399(__eq__)
    62710    0.058    0.000    0.336    0.000 tree_util.py:39(tree_flatten)
    63376    0.068    0.000    0.328    0.000 util.py:338(_check_arraylike)
   190873    0.321    0.000    0.321    0.000 dtypes.py:435(is_weakly_typed)
    62464    0.294    0.000    0.318    0.000 lax_numpy.py:3909(_merge_static_and_dynamic_indices)
    62464    0.135    0.000    0.314    0.000 lax_numpy.py:4255(_canonicalize_tuple_index)
      790    0.101    0.000    0.311    0.000 ufuncs.py:332(power)
   125719    0.198    0.000    0.307    0.000 util.py:155(<listcomp>)
   251136    0.305    0.000    0.305    0.000 xla_bridge.py:428(get_device_backend)
  1817009    0.299    0.000    0.299    0.000 {method 'get' of 'dict' objects}
   438466    0.298    0.000    0.298    0.000 fromnumeric.py:1965(shape)
   126579    0.059    0.000    0.291    0.000 core.py:1794(is_special_dim_size)
    62955    0.278    0.000    0.278    0.000 {built-in method jaxlib.xla_extension.pytree.flatten}
   187575    0.187    0.000    0.236    0.000 {built-in method builtins.repr}
   124990    0.124    0.000    0.231    0.000 {built-in method builtins.sum}
   250772    0.217    0.000    0.217    0.000 fromnumeric.py:3121(ndim)
   127603    0.054    0.000    0.210    0.000 util.py:341(<genexpr>)
    62586    0.117    0.000    0.200    0.000 util.py:332(_stackable)
   312746    0.134    0.000    0.200    0.000 dtypes.py:240(_issubclass)
815507/815263    0.170    0.000    0.175    0.000 {built-in method _operator.index}
   688869    0.140    0.000    0.172    0.000 {built-in method builtins.next}
  1249767    0.168    0.000    0.168    0.000 {method 'append' of 'list' objects}
   250769    0.158    0.000    0.158    0.000 core.py:1300(_dtype_object)
    64227    0.069    0.000    0.157    0.000 util.py:327(_arraylike)
   187453    0.156    0.000    0.157    0.000 {built-in method builtins.sorted}
   124928    0.071    0.000    0.154    0.000 lax.py:1314(<listcomp>)
   754328    0.146    0.000    0.146    0.000 {built-in method builtins.hasattr}
   187634    0.145    0.000    0.145    0.000 getlimits.py:659(min)
    63321    0.067    0.000    0.142    0.000 core.py:1270(concrete_or_error)
   376065    0.137    0.000    0.137    0.000 {built-in method builtins.hash}
   251015    0.131    0.000    0.131    0.000 core.py:413(__init__)
   125966    0.125    0.000    0.126    0.000 {built-in method numpy.asarray}
